# ,Skx,Sky,RMSx,RMSy,Kx,Ky,CFx,CFy,P2Px,P2Py,filename
22300.0,-0.5514048782881041,-0.4109143206352442,7.161192815491383,2.6002843176184505,-0.6441181915719625,-1.0757887692429426,2.230378431571952,1.9422606850260091,31.99805,11.17773,_20_07_06_10_27_22_1400.txt
22301.0,-0.48899805085706793,-0.5399293445981033,7.543377685936435,2.5704265279920975,-0.5866320405696759,-0.984044867704994,2.117376414782712,1.9070725992814956,31.99805,11.08203,_20_07_06_10_28_14_1400.txt
22302.0,-0.6303565259334518,-0.40057149616115767,6.990405284104318,2.4895333778639444,-0.6704437017303864,-1.0075480810011779,2.284870383169281,2.0043434823442254,31.99414,10.972650000000002,_20_07_06_10_29_07_1400.txt
22303.0,-0.6690524675342239,-0.3729623732251899,6.58758374843195,2.4285019957080167,-0.6905316594932396,-0.9275788669495579,2.4245870124690065,2.102971300425496,31.986330000000002,11.04297,_20_07_06_10_30_00_1400.txt
22304.0,-0.6129020929089796,-0.4457937752912049,6.808986382033483,2.3749255493024726,-0.5829428109265313,-0.9731784812393189,2.3457485598950427,2.0064923725291446,31.9961,10.57422,_20_07_06_10_31_18_1400.txt
22305.0,-0.6651727497096979,-0.3205751739153549,6.775536811447627,2.387318935805589,-0.6238732611087383,-0.9591088225522846,2.3573290861639444,2.1760645057033345,31.9668,10.98047,_20_07_06_10_32_11_1400.txt
22306.0,-0.6483034183817202,-0.32636612605433163,6.985593660623497,2.4363873405596084,-0.6728290453614925,-0.8960369801447068,2.2864441844122965,2.2196183299646775,31.99024,11.13867,_20_07_06_10_33_03_1400.txt
22307.0,-0.6564832167550648,-0.3313064508677718,7.090915589686919,2.4676180362534375,-0.603172644455531,-0.8718512712765771,2.252483448432251,2.1052528890927795,31.99805,11.30273,_20_07_06_10_34_22_1400.txt
22308.0,-0.6518967011860523,-0.36980242631225263,7.083089278114354,2.460451138103092,-0.6275798465523108,-0.8481452722625678,2.2549722829770795,2.1224969352678067,31.9961,11.52929,_20_07_06_10_35_15_1400.txt
22309.0,-0.6009478759162173,-0.2924812716514751,7.073497964810875,2.516423041260426,-0.5953956330599439,-0.8826378166962856,2.2580299138358555,2.280192919043527,31.99805,11.66211,_20_07_06_10_36_07_1400.txt
22310.0,-0.670678135142849,-0.27633095204103986,6.898681946328307,2.4885906793372126,-0.6167901162352587,-0.9027647063229871,2.315249510596859,2.162071105013137,31.99414,11.17578,_20_07_06_10_37_26_1400.txt
